MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
"","","","","","",DF7004WE,Appliances,Laundry & Kitchen Appliances,Residential & Commercial Appliances,DF7004WE,DF7004WE,DF7004WE Speed Queen Elect Dryer Wh,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),Alliance Laundry Systems LLC,Speed Queen,"",DF7004WE,"",Appliances > Major Appliances > Laundry & Kitchen,"Alliance Laundry Systems LLC, Clothes Dryer, DF7004WE, Industrial Duty",SPDQ MTL COD,Speed Queen DF7004WE Clothes Dryer,"Speed Queen Clothes Dryer, Enameled Steel Construction, Designed for Residential Laundry.",Speed Queen DF7004WE Clothes Dryer,"Engineered for industrial professionals, the Speed Queen Clothes Dryer offers superior durability and performance in demanding residential laundry operations.",Heavy-duty commercial drive system,Energy efficient operation,Durable porcelain/steel drum,"","","","","","","","","","","","","","","","","","","","",Residential Laundry,"",Clothes Dryer,Material,Enameled Steel,"",Application,Residential Laundry,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",52141510,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",DR7004BE,Appliances,Laundry & Kitchen Appliances,Residential & Commercial Appliances,DR7004BE,DR7004BE,DR7004BE SQ Elect Dryer Bk,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),Appliance Dealers Cooperative,Appliance Dealers Cooperative,"",DR7004BE,"",Appliances > Major Appliances > Laundry & Kitchen,"Appliance Dealers Cooperative, Clothes Dryer, DR7004BE, Industrial Duty",MFR MTL COD,Appliance Dealers Cooperative DR7004BE Clothes Dryer,"Appliance Dealers Cooperative Clothes Dryer, Enameled Steel Construction, Designed for Residential Laundry.",Appliance Dealers Cooperative DR7004BE Clothes Dryer,"Engineered for industrial professionals, the Appliance Dealers Cooperative Clothes Dryer offers superior durability and performance in demanding residential laundry operations.",Heavy-duty commercial drive system,Energy efficient operation,Durable porcelain/steel drum,"","","","","","","","","","","","","","","","","","","","",Residential Laundry,"",Clothes Dryer,Material,Enameled Steel,"",Application,Residential Laundry,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",52141510,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",DV2000WE,Appliances,Laundry & Kitchen Appliances,Residential & Commercial Appliances,DV2000WE,DV2000WE,DV2000WE SQ Elect Dryer Wh,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),Appliance Dealers Cooperative,Appliance Dealers Cooperative,"",DV2000WE,"",Appliances > Major Appliances > Laundry & Kitchen,"Appliance Dealers Cooperative, Clothes Dryer, DV2000WE, Industrial Duty",MFR MTL COD,Appliance Dealers Cooperative DV2000WE Clothes Dryer,"Appliance Dealers Cooperative Clothes Dryer, Enameled Steel Construction, Designed for Residential Laundry.",Appliance Dealers Cooperative DV2000WE Clothes Dryer,"Engineered for industrial professionals, the Appliance Dealers Cooperative Clothes Dryer offers superior durability and performance in demanding residential laundry operations.",Heavy-duty commercial drive system,Energy efficient operation,Durable porcelain/steel drum,"","","","","","","","","","","","","","","","","","","","",Residential Laundry,"",Clothes Dryer,Material,Enameled Steel,"",Application,Residential Laundry,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",52141510,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",DC5004WE,Appliances,Laundry & Kitchen Appliances,Residential & Commercial Appliances,DC5004WE,DC5004WE,DC5004WE SQ Elect Dryer Wh,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),Appliance Dealers Cooperative,Appliance Dealers Cooperative,"",DC5004WE,"",Appliances > Major Appliances > Laundry & Kitchen,"Appliance Dealers Cooperative, Clothes Dryer, DC5004WE, Industrial Duty",MFR MTL COD,Appliance Dealers Cooperative DC5004WE Clothes Dryer,"Appliance Dealers Cooperative Clothes Dryer, Enameled Steel Construction, Designed for Residential Laundry.",Appliance Dealers Cooperative DC5004WE Clothes Dryer,"Engineered for industrial professionals, the Appliance Dealers Cooperative Clothes Dryer offers superior durability and performance in demanding residential laundry operations.",Heavy-duty commercial drive system,Energy efficient operation,Durable porcelain/steel drum,"","","","","","","","","","","","","","","","","","","","",Residential Laundry,"",Clothes Dryer,Material,Enameled Steel,"",Application,Residential Laundry,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",52141510,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",DC5004BE,Appliances,Laundry & Kitchen Appliances,Residential & Commercial Appliances,DC5004BE,DC5004BE,DC5004BE SQ Elect Dryer Bk,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),Appliance Dealers Cooperative,Appliance Dealers Cooperative,"",DC5004BE,"",Appliances > Major Appliances > Laundry & Kitchen,"Appliance Dealers Cooperative, Clothes Dryer, DC5004BE, Industrial Duty",MFR MTL COD,Appliance Dealers Cooperative DC5004BE Clothes Dryer,"Appliance Dealers Cooperative Clothes Dryer, Enameled Steel Construction, Designed for Residential Laundry.",Appliance Dealers Cooperative DC5004BE Clothes Dryer,"Engineered for industrial professionals, the Appliance Dealers Cooperative Clothes Dryer offers superior durability and performance in demanding residential laundry operations.",Heavy-duty commercial drive system,Energy efficient operation,Durable porcelain/steel drum,"","","","","","","","","","","","","","","","","","","","",Residential Laundry,"",Clothes Dryer,Material,Enameled Steel,"",Application,Residential Laundry,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",52141510,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",WKE100HWA,Appliances,Laundry & Kitchen Appliances,Residential & Commercial Appliances,WKE100HWA,WKE100HWA,WKE100HWA LG Laundry Center Wh - Display,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),Appliance Dealers Cooperative,Appliance Dealers Cooperative,"",WKE100HWA,"",Appliances > Major Appliances > Laundry & Kitchen,"Appliance Dealers Cooperative, Commercial Appliance, WKE100HWA",MFR MTL COD,Appliance Dealers Cooperative WKE100HWA Commercial Appliance,"Appliance Dealers Cooperative Commercial Appliance, Enameled Steel Construction, Designed for Dishwashing.",Appliance Dealers Cooperative WKE100HWA Commercial Appliance,"Engineered for industrial professionals, the Appliance Dealers Cooperative Commercial Appliance offers superior durability and performance in demanding dishwashing operations.",Heavy-duty commercial drive system,Energy efficient operation,Durable porcelain/steel drum,"","","","","","","","","","","","","","","","","","","","",Dishwashing,"",Commercial Appliance,Material,Enameled Steel,"",Application,Dishwashing,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",52141501,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",FF7011WN,Appliances,Laundry & Kitchen Appliances,Residential & Commercial Appliances,FF7011WN,FF7011WN,FF7011WN Speed Queen Washer Wh,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),Alliance Laundry Systems LLC,Speed Queen,"",FF7011WN,"",Appliances > Major Appliances > Laundry & Kitchen,"Alliance Laundry Systems LLC, Washing Machine, FF7011WN, Industrial Duty",SPDQ MTL COD,Speed Queen FF7011WN Washing Machine,"Speed Queen Washing Machine, Enameled Steel Construction, Designed for Residential Laundry.",Speed Queen FF7011WN Washing Machine,"Engineered for industrial professionals, the Speed Queen Washing Machine offers superior durability and performance in demanding residential laundry operations.",Heavy-duty commercial drive system,Energy efficient operation,Durable porcelain/steel drum,"","","","","","","","","","","","","","","","","","","","",Residential Laundry,"",Washing Machine,Material,Enameled Steel,"",Application,Residential Laundry,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",52141505,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",PTD70GBPTDG,Appliances,Laundry & Kitchen Appliances,Residential & Commercial Appliances,PTD70GBPTDG,PTD70GBPTDG,PTD70GBPTDG GE Gas Dryer DG,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),"GE Appliances, a Haier company",GE,"",PTD70GBPTDG,"",Appliances > Major Appliances > Laundry & Kitchen,"GE Appliances, a Haier company, Clothes Dryer, PTD70GBPTDG, Industrial Duty",GEAP MTL COD,GE PTD70GBPTDG Clothes Dryer,"GE Clothes Dryer, Enameled Steel Construction, Designed for Residential Laundry.",GE PTD70GBPTDG Clothes Dryer,"Engineered for industrial professionals, the GE Clothes Dryer offers superior durability and performance in demanding residential laundry operations.",Heavy-duty commercial drive system,Energy efficient operation,Durable porcelain/steel drum,"","","","","","","","","","","","","","","","","","","","",Residential Laundry,"",Clothes Dryer,Material,Enameled Steel,"",Application,Residential Laundry,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",52141510,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",PTD70GBSTWS,Appliances,Laundry & Kitchen Appliances,Residential & Commercial Appliances,PTD70GBSTWS,PTD70GBSTWS,PTD70GBSTWS GE Gas Dryer Wh,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),"GE Appliances, a Haier company",GE,"",PTD70GBSTWS,"",Appliances > Major Appliances > Laundry & Kitchen,"GE Appliances, a Haier company, Clothes Dryer, PTD70GBSTWS, Industrial Duty",GEAP MTL COD,GE PTD70GBSTWS Clothes Dryer,"GE Clothes Dryer, Enameled Steel Construction, Designed for Residential Laundry.",GE PTD70GBSTWS Clothes Dryer,"Engineered for industrial professionals, the GE Clothes Dryer offers superior durability and performance in demanding residential laundry operations.",Heavy-duty commercial drive system,Energy efficient operation,Durable porcelain/steel drum,"","","","","","","","","","","","","","","","","","","","",Residential Laundry,"",Clothes Dryer,Material,Enameled Steel,"",Application,Residential Laundry,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",52141510,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",DR5004WG,Appliances,Laundry & Kitchen Appliances,Residential & Commercial Appliances,DR5004WG,DR5004WG,DR5004WG SQ Gas Dryer Wh,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),Appliance Dealers Cooperative,Appliance Dealers Cooperative,"",DR5004WG,"",Appliances > Major Appliances > Laundry & Kitchen,"Appliance Dealers Cooperative, Clothes Dryer, DR5004WG, Industrial Duty",MFR MTL COD,Appliance Dealers Cooperative DR5004WG Clothes Dryer,"Appliance Dealers Cooperative Clothes Dryer, Enameled Steel Construction, Designed for Residential Laundry.",Appliance Dealers Cooperative DR5004WG Clothes Dryer,"Engineered for industrial professionals, the Appliance Dealers Cooperative Clothes Dryer offers superior durability and performance in demanding residential laundry operations.",Heavy-duty commercial drive system,Energy efficient operation,Durable porcelain/steel drum,"","","","","","","","","","","","","","","","","","","","",Residential Laundry,"",Clothes Dryer,Material,Enameled Steel,"",Application,Residential Laundry,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",52141510,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",DR7004BG,Appliances,Laundry & Kitchen Appliances,Residential & Commercial Appliances,DR7004BG,DR7004BG,DR7004BG SQ Gas Dryer Bk,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),Appliance Dealers Cooperative,Appliance Dealers Cooperative,"",DR7004BG,"",Appliances > Major Appliances > Laundry & Kitchen,"Appliance Dealers Cooperative, Clothes Dryer, DR7004BG, Industrial Duty",MFR MTL COD,Appliance Dealers Cooperative DR7004BG Clothes Dryer,"Appliance Dealers Cooperative Clothes Dryer, Enameled Steel Construction, Designed for Residential Laundry.",Appliance Dealers Cooperative DR7004BG Clothes Dryer,"Engineered for industrial professionals, the Appliance Dealers Cooperative Clothes Dryer offers superior durability and performance in demanding residential laundry operations.",Heavy-duty commercial drive system,Energy efficient operation,Durable porcelain/steel drum,"","","","","","","","","","","","","","","","","","","","",Residential Laundry,"",Clothes Dryer,Material,Enameled Steel,"",Application,Residential Laundry,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",52141510,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",DR7004WG,Appliances,Laundry & Kitchen Appliances,Residential & Commercial Appliances,DR7004WG,DR7004WG,DR7004WG SQ Gas Dryer Wh,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),Appliance Dealers Cooperative,Appliance Dealers Cooperative,"",DR7004WG,"",Appliances > Major Appliances > Laundry & Kitchen,"Appliance Dealers Cooperative, Clothes Dryer, DR7004WG, Industrial Duty",MFR MTL COD,Appliance Dealers Cooperative DR7004WG Clothes Dryer,"Appliance Dealers Cooperative Clothes Dryer, Enameled Steel Construction, Designed for Residential Laundry.",Appliance Dealers Cooperative DR7004WG Clothes Dryer,"Engineered for industrial professionals, the Appliance Dealers Cooperative Clothes Dryer offers superior durability and performance in demanding residential laundry operations.",Heavy-duty commercial drive system,Energy efficient operation,Durable porcelain/steel drum,"","","","","","","","","","","","","","","","","","","","",Residential Laundry,"",Clothes Dryer,Material,Enameled Steel,"",Application,Residential Laundry,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",52141510,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",DV2000WG,Appliances,Laundry & Kitchen Appliances,Residential & Commercial Appliances,DV2000WG,DV2000WG,DV2000WG SQ Gas Dryer Wh,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),Appliance Dealers Cooperative,Appliance Dealers Cooperative,"",DV2000WG,"",Appliances > Major Appliances > Laundry & Kitchen,"Appliance Dealers Cooperative, Clothes Dryer, DV2000WG, Industrial Duty",MFR MTL COD,Appliance Dealers Cooperative DV2000WG Clothes Dryer,"Appliance Dealers Cooperative Clothes Dryer, Enameled Steel Construction, Designed for Residential Laundry.",Appliance Dealers Cooperative DV2000WG Clothes Dryer,"Engineered for industrial professionals, the Appliance Dealers Cooperative Clothes Dryer offers superior durability and performance in demanding residential laundry operations.",Heavy-duty commercial drive system,Energy efficient operation,Durable porcelain/steel drum,"","","","","","","","","","","","","","","","","","","","",Residential Laundry,"",Clothes Dryer,Material,Enameled Steel,"",Application,Residential Laundry,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",52141510,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",DC5004WG,Appliances,Laundry & Kitchen Appliances,Residential & Commercial Appliances,DC5004WG,DC5004WG,DC5004WG SQ Gas Dryer Wh,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),Appliance Dealers Cooperative,Appliance Dealers Cooperative,"",DC5004WG,"",Appliances > Major Appliances > Laundry & Kitchen,"Appliance Dealers Cooperative, Clothes Dryer, DC5004WG, Industrial Duty",MFR MTL COD,Appliance Dealers Cooperative DC5004WG Clothes Dryer,"Appliance Dealers Cooperative Clothes Dryer, Enameled Steel Construction, Designed for Residential Laundry.",Appliance Dealers Cooperative DC5004WG Clothes Dryer,"Engineered for industrial professionals, the Appliance Dealers Cooperative Clothes Dryer offers superior durability and performance in demanding residential laundry operations.",Heavy-duty commercial drive system,Energy efficient operation,Durable porcelain/steel drum,"","","","","","","","","","","","","","","","","","","","",Residential Laundry,"",Clothes Dryer,Material,Enameled Steel,"",Application,Residential Laundry,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",52141510,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",DC5004BG,Appliances,Laundry & Kitchen Appliances,Residential & Commercial Appliances,DC5004BG,DC5004BG,DC5004BG SQ Gas Dryer Bk,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),Appliance Dealers Cooperative,Appliance Dealers Cooperative,"",DC5004BG,"",Appliances > Major Appliances > Laundry & Kitchen,"Appliance Dealers Cooperative, Clothes Dryer, DC5004BG, Industrial Duty",MFR MTL COD,Appliance Dealers Cooperative DC5004BG Clothes Dryer,"Appliance Dealers Cooperative Clothes Dryer, Enameled Steel Construction, Designed for Residential Laundry.",Appliance Dealers Cooperative DC5004BG Clothes Dryer,"Engineered for industrial professionals, the Appliance Dealers Cooperative Clothes Dryer offers superior durability and performance in demanding residential laundry operations.",Heavy-duty commercial drive system,Energy efficient operation,Durable porcelain/steel drum,"","","","","","","","","","","","","","","","","","","","",Residential Laundry,"",Clothes Dryer,Material,Enameled Steel,"",Application,Residential Laundry,"",Grade,Industrial,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",52141510,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
